0.100000	-nan	-nan	0.000052	-0.000000	-0.000022	0.025978	-0.021649	0.531052	-0.000011	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
3.600000	1.577027	0.612459	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	66.345222	-13.525080	4.146545	0.791198	-3.033763	66.732803	0.531000	0.218536
3.700000	2.449815	0.000000	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	70.640625	-36.712749	7.182625	-1.925197	-2.872328	73.281181	0.531000	0.304524
3.800000	2.449815	0.000000	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	70.640625	-36.712749	7.182625	-1.925197	-2.872328	73.281181	0.531000	0.304524
3.900000	2.312783	0.000000	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	49.889069	-39.095333	6.705947	-2.992953	-2.747271	54.035923	0.531000	0.441710
4.000000	2.312783	0.000000	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	49.889069	-39.095333	6.705947	-2.992953	-2.747271	54.035923	0.531000	0.441710
4.100000	0.000000	1.579834	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	44.872807	13.784966	-0.040081	3.379740	2.979893	45.465904	0.531000	0.472231
4.200000	0.000000	1.579834	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	44.872807	13.784966	-0.040081	3.379740	2.979893	45.465904	0.531000	0.472231
4.300000	0.124062	1.543136	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	47.922569	12.237118	0.265406	3.301231	3.006823	48.361092	0.531000	0.462410
4.400000	0.124062	1.543136	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	47.922569	12.237118	0.265406	3.301231	3.006823	48.361092	0.531000	0.462410
4.500000	1.194528	0.960112	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	64.716591	-3.286952	2.815985	2.000547	-3.114630	64.740120	0.531000	0.393242
4.600000	1.194528	0.960112	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	64.716591	-3.286952	2.815985	2.000547	-3.114630	64.740120	0.531000	0.393242
4.700000	4.000000	0.000000	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	40.223911	-109.377068	15.064146	-12.070481	-2.176518	70.648132	0.531000	0.351556
4.800000	4.000000	0.000000	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	40.223911	-109.377068	15.064146	-12.070481	-2.176518	70.648132	0.531000	0.351556
4.900000	1.656762	0.000000	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	27.684183	-27.359463	4.423911	-2.363516	-2.658325	31.264566	0.531000	0.515859
5.000000	1.656762	0.000000	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	27.684183	-27.359463	4.423911	-2.363516	-2.658325	31.264566	0.531000	0.515859
